Part of NAICS US,2017NAICSUS  ,2017 NAICS US TITLE,Part of ISIC,ISIC 4.0,ISIC Revision 4.0 Title,"Notes:  link content based on NAICS definition, entire NAICS industry if blank",ISIC 4.02,UID,#NAICS,#ISIC,Comments,#NAICS matches,#ISIC matches
,523930,Investment Advice,*,6619,Other activities auxiliary to financial service activities, ,6619,F4.1252,NAICS-523930,ISIC-6619,,1,1
,523991,"Trust, Fiduciary, and Custody Activities",*,6619,Other activities auxiliary to financial service activities, ,6619,F4.1253,NAICS-523991,ISIC-6619,,1,1
*,523999,Miscellaneous Financial Investment Activities,*,6612,Security and commodity contracts brokerage,gas and oil lease brokers offices,6612,F4.1254,NAICS-523999,ISIC-6612,,1,1
*,523999,Miscellaneous Financial Investment Activities,*,6619,Other activities auxiliary to financial service activities,except gas and oil lease brokers offices,6619,F4.1255,NAICS-523999,ISIC-6619,,1,1
,524113,Direct Life Insurance Carriers,,6511,Life insurance, ,6511,F4.1256,NAICS-524113,ISIC-6511,,1,1
,524114,Direct Health and Medical Insurance Carriers,*,6512,Non-life insurance, ,6512,F4.1257,NAICS-524114,ISIC-6512,,1,1
,524126,Direct Property and Causality Insurance Carriers,*,6512,Non-life insurance, ,6512,F4.1258,NAICS-524126,ISIC-6512,,1,1
,524127,Direct Title Insurance Carriers,*,6512,Non-life insurance, ,6512,F4.1259,NAICS-524127,ISIC-6512,,1,1
,524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",*,6512,Non-life insurance, ,6512,F4.1260,NAICS-524128,ISIC-6512,,1,1
,524130,Reinsurance Carriers,,6520,Reinsurance, ,6520,F4.1261,NAICS-524130,ISIC-6520,,1,1
,524210,Insurance Agencies and Brokerages,,6622,Activities of insurance agents and brokers, ,6622,F4.1262,NAICS-524210,ISIC-6622,,1,1
,524291,Claims Adjusting,,6621,Risk and damage evaluation, ,6621,F4.1263,NAICS-524291,ISIC-6621,,1,1
,524292,Third Party Administration of Insurance and Pension Funds,*,6629,Other activities auxiliary to insurance and pension funding, ,6629,F4.1264,NAICS-524292,ISIC-6629,,1,1
,524298,All Other Insurance Related Activities,*,6629,Other activities auxiliary to insurance and pension funding, ,6629,F4.1265,NAICS-524298,ISIC-6629,,1,1
,525110,Pension Funds,,6530,Pension funding, ,6530,F4.1266,NAICS-525110,ISIC-6530,,1,1
,525120,Health and Welfare Funds,*,6430,"Trusts, funds and similar financial entities", ,6430,F4.1267,NAICS-525120,ISIC-6430,,1,1
,525190,Other Insurance Funds,*,6430,"Trusts, funds and similar financial entities", ,6430,F4.1268,NAICS-525190,ISIC-6430,,1,1
,525910,Open-End Investment Funds,*,6430,"Trusts, funds and similar financial entities", ,6430,F4.1269,NAICS-525910,ISIC-6430,,1,1
,525920,"Trusts, Estates, and Agency Accounts",*,6430,"Trusts, funds and similar financial entities", ,6430,F4.1270,NAICS-525920,ISIC-6430,,1,1
,525990,Other Financial Vehicles,*,6430,"Trusts, funds and similar financial entities", ,6430,F4.1271,NAICS-525990,ISIC-6430,,1,1
,531110,Lessors of Residential Buildings and Dwellings,*,6810,Real estate activities with own or leased property, ,6810,F4.1272,NAICS-531110,ISIC-6810,,1,1
,531120,Lessors of Nonresidential Buildings (except Miniwarehouses),*,6810,Real estate activities with own or leased property, ,6810,F4.1273,NAICS-531120,ISIC-6810,,1,1
,531130,Lessors of Miniwarehouses and Self-Storage Units,*,6810,Real estate activities with own or leased property, ,6810,F4.1274,NAICS-531130,ISIC-6810,,1,1
,531190,Lessors of Other Real Estate Property,*,6810,Real estate activities with own or leased property, ,6810,F4.1275,NAICS-531190,ISIC-6810,,1,1
,531210,Offices of Real Estate Agents and Brokers,*,6820,Real estate activities on a fee or contract basis, ,6820,F4.1276,NAICS-531210,ISIC-6820,,1,1
,531311,Residential Property Managers,*,6820,Real estate activities on a fee or contract basis, ,6820,F4.1277,NAICS-531311,ISIC-6820,,1,1
,531312,Nonresidential Property Managers,*,6820,Real estate activities on a fee or contract basis, ,6820,F4.1278,NAICS-531312,ISIC-6820,,1,1
,531320,Offices of Real Estate Appraisers,*,6820,Real estate activities on a fee or contract basis, ,6820,F4.1279,NAICS-531320,ISIC-6820,,1,1
,531390,Other Activities Related to Real Estate,*,6820,Real estate activities on a fee or contract basis, ,6820,F4.1280,NAICS-531390,ISIC-6820,,1,1
,532111,Passenger Car Rental,*,7710,Renting and leasing of motor vehicles, ,7710,F4.1281,NAICS-532111,ISIC-7710,,1,1
,532112,Passenger Car Leasing,*,7710,Renting and leasing of motor vehicles, ,7710,F4.1282,NAICS-532112,ISIC-7710,,1,1
*,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",*,7710,Renting and leasing of motor vehicles,except rental and leasing of RVs,7710,F4.1283,NAICS-532120,ISIC-7710,,1,1
*,532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",*,7730,"Renting and leasing of other machinery, equipment and tangible goods",rental and leasing of RVs,7730,F4.1284,NAICS-532120,ISIC-7730,,1,1
,532210,Consumer Electronics and Appliances Rental,*,7729,Renting and leasing of other personal and household goods, ,7729,F4.1285,NAICS-532210,ISIC-7729,,1,1
,532281,Formal Wear and Costume Rental,*,7729,Renting and leasing of other personal and household goods, ,7729,F4.1286,NAICS-532281,ISIC-7729,,1,1
,532282,Video Tape and Disc Rental,,7722,Renting of video tapes and disks, ,7722,F4.1287,NAICS-532282,ISIC-7722,,1,1
,532283,Home Health Equipment Rental,*,7729,Renting and leasing of other personal and household goods, ,7729,F4.1288,NAICS-532283,ISIC-7729,,1,1
*,532284,Recreational Goods Rental,,7721,Renting and leasing of recreational and sports goods,except rental of motorcycles,7721,F4.1289,NAICS-532284,ISIC-7721,,1,1
*,532284,Recreational Goods Rental,*,7730,"Renting and leasing of other machinery, equipment and tangible goods",rental of motorcycles,7730,F4.1290,NAICS-532284,ISIC-7730,,1,1
,532289,All Other Consumer Goods Rental,*,7729,Renting and leasing of other personal and household goods, ,7729,F4.1291,NAICS-532289,ISIC-7729,,1,1
*,532310,General Rental Centers,*,7729,Renting and leasing of other personal and household goods,renting a range of commercial and household equipment including do-it-yourself equipment (primarily household),7729,F4.1292,NAICS-532310,ISIC-7729,,1,1
*,532310,General Rental Centers,*,7730,"Renting and leasing of other machinery, equipment and tangible goods",except general rental centers primarily renting personal or household goods,7730,F4.1293,NAICS-532310,ISIC-7730,,1,1
,532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",*,7730,"Renting and leasing of other machinery, equipment and tangible goods", ,7730,F4.1294,NAICS-532411,ISIC-7730,,1,1
,532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",*,7730,"Renting and leasing of other machinery, equipment and tangible goods", ,7730,F4.1295,NAICS-532412,ISIC-7730,,1,1
,532420,Office Machinery and Equipment Rental and Leasing,*,7730,"Renting and leasing of other machinery, equipment and tangible goods", ,7730,F4.1296,NAICS-532420,ISIC-7730,,1,1
,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,*,7730,"Renting and leasing of other machinery, equipment and tangible goods", ,7730,F4.1297,NAICS-532490,ISIC-7730,,1,1
,533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),,7740,"Leasing of intellectual property and similar products, except copyrighted works", ,7740,F4.1298,NAICS-533110,ISIC-7740,,1,1
,541110,Offices of Lawyers,*,6910,Legal activities, ,6910,F4.1299,NAICS-541110,ISIC-6910,,1,1
,541120,Offices of Notaries,*,6910,Legal activities,null set in US: legal activities carried out by notaries,6910,F4.1300,NAICS-541120,ISIC-6910,,1,1
,541191,Title Abstract and Settlement Offices,*,6910,Legal activities, ,6910,F4.1301,NAICS-541191,ISIC-6910,,1,1
,541199,All Other Legal Services,*,6910,Legal activities, ,6910,F4.1302,NAICS-541199,ISIC-6910,,1,1
,541211,Offices of Certified Public Accountants,*,6920,"Accounting, bookkeeping and auditing activities; tax consultancy", ,6920,F4.1303,NAICS-541211,ISIC-6920,,1,1
,541213,Tax Preparation Services,*,6920,"Accounting, bookkeeping and auditing activities; tax consultancy", ,6920,F4.1304,NAICS-541213,ISIC-6920,,1,1
,541214,Payroll Services,*,6920,"Accounting, bookkeeping and auditing activities; tax consultancy", ,6920,F4.1305,NAICS-541214,ISIC-6920,,1,1
,541219,Other Accounting Services,*,6920,"Accounting, bookkeeping and auditing activities; tax consultancy", ,6920,F4.1306,NAICS-541219,ISIC-6920,,1,1
,541310,Architectural Services,*,7110,Architectural and engineering activities and related technical consultancy, ,7110,F4.1307,NAICS-541310,ISIC-7110,,1,1
,541320,Landscape Architectural Services,*,7110,Architectural and engineering activities and related technical consultancy, ,7110,F4.1308,NAICS-541320,ISIC-7110,,1,1
,541330,Engineering Services,*,7110,Architectural and engineering activities and related technical consultancy, ,7110,F4.1309,NAICS-541330,ISIC-7110,,1,1
,541340,Drafting Services,*,7110,Architectural and engineering activities and related technical consultancy, ,7110,F4.1310,NAICS-541340,ISIC-7110,,1,1
,541350,Building Inspection Services,*,7110,Architectural and engineering activities and related technical consultancy, ,7110,F4.1311,NAICS-541350,ISIC-7110,,1,1
,541360,Geophysical Surveying and Mapping Services,*,7110,Architectural and engineering activities and related technical consultancy,,7110,F4.1312,NAICS-541360,ISIC-7110,,1,1
,541370,Surveying and Mapping (except Geophysical) Services,*,7110,Architectural and engineering activities and related technical consultancy, ,7110,F4.1313,NAICS-541370,ISIC-7110,,1,1
,541380,Testing Laboratories,*,7120,Technical testing and analysis, ,7120,F4.1314,NAICS-541380,ISIC-7120,,1,1
,541410,Interior Design Services,*,7410,Specialized design activities, ,7410,F4.1315,NAICS-541410,ISIC-7410,,1,1
,541420,Industrial Design Services,*,7410,Specialized design activities, ,7410,F4.1316,NAICS-541420,ISIC-7410,,1,1
,541430,Graphic Design Services,*,7410,Specialized design activities, ,7410,F4.1317,NAICS-541430,ISIC-7410,,1,1
,541490,Other Specialized Design Services,*,7410,Specialized design activities, ,7410,F4.1318,NAICS-541490,ISIC-7410,,1,1
,541511,Custom Computer Programming Services,,6201,Computer programming activities, ,6201,F4.1319,NAICS-541511,ISIC-6201,,1,1
,541512,Computer Systems Design Services,*,6202,Computer consultancy and computer facilities management services, ,6202,F4.1320,NAICS-541512,ISIC-6202,,1,1
,541513,Computer Facilities Management Services,*,6202,Computer consultancy and computer facilities management services, ,6202,F4.1321,NAICS-541513,ISIC-6202,,1,1
,541519,Other Computer Related Services,,6209,Other information technology and computer service activities, ,6209,F4.1322,NAICS-541519,ISIC-6209,,1,1
,541611,Administrative Management and General Management Consulting Services,*,7020,Management consultancy activities, ,7020,F4.1323,NAICS-541611,ISIC-7020,,1,1
*,541612,Human Resources Consulting Services ,*,6629,Other activities auxiliary to insurance and pension funding,actuarial consulting services,6629,F4.1324,NAICS-541612,ISIC-6629,,1,1
*,541612,Human Resources Consulting Services ,*,7020,Management consultancy activities,except actuarial consulting services,7020,F4.1325,NAICS-541612,ISIC-7020,,1,1
,541613,Marketing Consulting Services,*,7020,Management consultancy activities, ,7020,F4.1326,NAICS-541613,ISIC-7020,,1,1
*,541614,"Process, Physical Distribution, and Logistics Consulting Services",*,7020,Management consultancy activities,except freight rate auditors and consultants,7020,F4.1327,NAICS-541614,ISIC-7020,,1,1
*,541614,"Process, Physical Distribution, and Logistics Consulting Services",*,7490,"Other professional, scientific and technical activities n.e.c.",freight rate auditors and consultants,7490,F4.1328,NAICS-541614,ISIC-7490,,1,1
,541618,Other Management Consulting Services,*,7490,"Other professional, scientific and technical activities n.e.c.", ,7490,F4.1329,NAICS-541618,ISIC-7490,,1,1
,541620,Environmental Consulting Services,*,7490,"Other professional, scientific and technical activities n.e.c.", ,7490,F4.1330,NAICS-541620,ISIC-7490,,1,1
,541690,Other Scientific and Technical Consulting Services,*,7490,"Other professional, scientific and technical activities n.e.c.", ,7490,F4.1331,NAICS-541690,ISIC-7490,,1,1
,541713,Research and Development in Nanotechnology,*,7210,Research and experimental development on natural sciences and engineering, ,7210,F4.1332,NAICS-541713,ISIC-7210,,1,1
,541714,Research and Development in Biotechnology (except Nanobiotechnology),*,7210,Research and experimental development on natural sciences and engineering,,7210,F4.1333,NAICS-541714,ISIC-7210,,1,1
,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",*,7210,Research and experimental development on natural sciences and engineering,,7210,F4.1334,NAICS-541715,ISIC-7210,,1,1
,541720,Research and Development in the Social Sciences and Humanities,,7220,Research and experimental development on social sciences and humanities, ,7220,F4.1335,NAICS-541720,ISIC-7220,,1,1
,541810,Advertising Agencies,*,7310,Advertising, ,7310,F4.1336,NAICS-541810,ISIC-7310,,1,1
,541820,Public Relations Agencies,*,7020,Management consultancy activities, ,7020,F4.1337,NAICS-541820,ISIC-7020,,1,1
,541830,Media Buying Agencies,*,7310,Advertising, ,7310,F4.1338,NAICS-541830,ISIC-7310,,1,1
,541840,Media Representatives,*,7310,Advertising, ,7310,F4.1339,NAICS-541840,ISIC-7310,,1,1
,541850,Outdoor Advertising,*,7310,Advertising, ,7310,F4.1340,NAICS-541850,ISIC-7310,,1,1
,541860,Direct Mail Advertising,*,7310,Advertising, ,7310,F4.1341,NAICS-541860,ISIC-7310,,1,1
,541870,Advertising Material Distribution Services,*,7310,Advertising, ,7310,F4.1342,NAICS-541870,ISIC-7310,,1,1
,541890,Other Services Related to Advertising,*,7310,Advertising, ,7310,F4.1343,NAICS-541890,ISIC-7310,,1,1
,541910,Marketing Research and Public Opinion Polling,,7320,Market research and public opinion polling, ,7320,F4.1344,NAICS-541910,ISIC-7320,,1,1
,541921,"Photography Studios, Portrait",*,7420,Photographic activities, ,7420,F4.1345,NAICS-541921,ISIC-7420,,1,1
,541922,Commercial Photography,*,7420,Photographic activities, ,7420,F4.1346,NAICS-541922,ISIC-7420,,1,1
,541930,Translation and Interpretation Services,*,7490,"Other professional, scientific and technical activities n.e.c.", ,7490,F4.1347,NAICS-541930,ISIC-7490,,1,1
,541940,Veterinary Services,*,7500,Veterinary activities, ,7500,F4.1348,NAICS-541940,ISIC-7500,,1,1
*,541990,"All Other Professional, Scientific, and Technical Services",*,6910,Legal activities,arbitration and conciliation services not provided by lawyers or paralegals ,6910,F4.1349,NAICS-541990,ISIC-6910,,1,1
*,541990,"All Other Professional, Scientific, and Technical Services",*,7490,"Other professional, scientific and technical activities n.e.c.","except arbitration and conciliation services, handwriting analysis and consumer credit and debt counseling services",7490,F4.1350,NAICS-541990,ISIC-7490,,1,1
*,541990,"All Other Professional, Scientific, and Technical Services",*,8030,Investigation activities,handwriting analysis services and expert services ,8030,F4.1351,NAICS-541990,ISIC-8030,,1,1
*,541990,"All Other Professional, Scientific, and Technical Services",*,8890,Other social work activities without accommodation,consumer credit and debt counseling services,8890,F4.1352,NAICS-541990,ISIC-8890,,1,1
,551111,Offices of Bank Holding Companies,*,6420,Activities of holding companies, ,6420,F4.1353,NAICS-551111,ISIC-6420,,1,1
,551112,Offices of Other Holding Companies,*,6420,Activities of holding companies, ,6420,F4.1354,NAICS-551112,ISIC-6420,,1,1
,551114,"Corporate, Subsidiary, and Regional Managing Offices",,7010,Activities of head offices, ,7010,F4.1355,NAICS-551114,ISIC-7010,,1,1
,561110,Office Administrative Services,,8211,Combined office administrative service activities, ,8211,F4.1356,NAICS-561110,ISIC-8211,,1,1
*,561210,Facilities Support Services,,8110,Combined facilities support services,except private contract operation of prisons,8110,F4.1357,NAICS-561210,ISIC-8110,,1,1
*,561210,Facilities Support Services,*,8423,Public order and safety activities,private contract operation of prisons,8423,F4.1358,NAICS-561210,ISIC-8423,,1,1
,561311,Employment Placement Agencies,*,7810,Activities of employment placement agencies, ,7810,F4.1359,NAICS-561311,ISIC-7810,,1,1
,561312,Executive Search Services,*,7810,Activities of employment placement agencies, ,7810,F4.1360,NAICS-561312,ISIC-7810,,1,1
,561320,Temporary Help Services,,7820,Temporary employment agency activities, ,7820,F4.1361,NAICS-561320,ISIC-7820,,1,1
,561330,Professional Employer Organizations,,7830,Other human resources provision, ,7830,F4.1362,NAICS-561330,ISIC-7830,,1,1
,561410,Document Preparation Services,*,8219,"Photocopying, document preparation and other specialized office support activities", ,8219,F4.1363,NAICS-561410,ISIC-8219,,1,1
,561421,Telephone Answering Services,*,8220,Activities of call centres, ,8220,F4.1364,NAICS-561421,ISIC-8220,,1,1
,561422,Telemarketing Bureaus and Other Contact Centers,*,8220,Activities of call centres, ,8220,F4.1365,NAICS-561422,ISIC-8220,,1,1
,561431,Private Mail Centers,*,8219,"Photocopying, document preparation and other specialized office support activities", ,8219,F4.1366,NAICS-561431,ISIC-8219,,1,1
,561439,Other Business Service Centers (including Copy Shops),*,8219,"Photocopying, document preparation and other specialized office support activities", ,8219,F4.1367,NAICS-561439,ISIC-8219,,1,1
*,561440,Collection Agencies,*,8291,Activities of collection agencies and credit bureaus,except tax collection on a contract or fee basis,8291,F4.1368,NAICS-561440,ISIC-8291,,1,1
*,561440,Collection Agencies,*,8411,General public administration activities,tax collection on a contract or fee basis,8411,F4.1369,NAICS-561440,ISIC-8411,,1,1
,561450,Credit Bureaus,*,8291,Activities of collection agencies and credit bureaus, ,8291,F4.1370,NAICS-561450,ISIC-8291,,1,1
,561491,Repossession Services,*,8299,Other business support service activities n.e.c., ,8299,F4.1371,NAICS-561491,ISIC-8299,,1,1
,561492,Court Reporting and Stenotype Services,*,8299,Other business support service activities n.e.c., ,8299,F4.1372,NAICS-561492,ISIC-8299,,1,1
*,561499,All Other Business Support Services,*,8292,Packaging activities,barcode attaching services (labeling services),8292,F4.1373,NAICS-561499,ISIC-8292,,1,1
*,561499,All Other Business Support Services,*,8299,Other business support service activities n.e.c.,except barcode attaching services (labeling services),8299,F4.1374,NAICS-561499,ISIC-8299,,1,1
,561510,Travel Agencies,,7911,Travel agency activities, ,7911,F4.1375,NAICS-561510,ISIC-7911,,1,1
,561520,Tour Operators,,7912,Tour operator activities, ,7912,F4.1376,NAICS-561520,ISIC-7912,,1,1
,561591,Convention and Visitors Bureaus,*,7990,Other reservation service and related activities, ,7990,F4.1377,NAICS-561591,ISIC-7990,,1,1
,561599,All Other Travel Arrangement and Reservation Services,*,7990,Other reservation service and related activities, ,7990,F4.1378,NAICS-561599,ISIC-7990,,1,1
*,561611,Investigation Services,*,8010,Private security activities,"fingerprinting, polygraph services",8010,F4.1379,NAICS-561611,ISIC-8010,,1,1
*,561611,Investigation Services,*,8030,Investigation activities,except fingerprinting and polygraph services,8030,F4.1380,NAICS-561611,ISIC-8030,,1,1
,561612,Security Guards and Patrol Services,*,8010,Private security activities, ,8010,F4.1381,NAICS-561612,ISIC-8010,,1,1
,561613,Armored Car Services,*,8010,Private security activities, ,8010,F4.1382,NAICS-561613,ISIC-8010,,1,1
,561621,Security Systems Services (except Locksmiths),*,8020,Security systems service activities, ,8020,F4.1383,NAICS-561621,ISIC-8020,,1,1
,561622,Locksmiths,*,8020,Security systems service activities, ,8020,F4.1384,NAICS-561622,ISIC-8020,,1,1
,561710,Exterminating and Pest Control Services,*,8129,Other building and industrial cleaning activities, ,8129,F4.1385,NAICS-561710,ISIC-8129,,1,1
*,561720,Janitorial Services,,8121,General cleaning of buildings,except cleaning transport equipment and window cleaning services,8121,F4.1386,NAICS-561720,ISIC-8121,,1,1
*,561720,Janitorial Services,*,8129,Other building and industrial cleaning activities,"cleaning of transport equipment, window cleaning services",8129,F4.1387,NAICS-561720,ISIC-8129,,1,1
,561730,Landscaping Services,,8130,Landscape care and maintenance service activities, ,8130,F4.1388,NAICS-561730,ISIC-8130,,1,1
,561740,Carpet and Upholstery Cleaning Services,*,9601,Washing and (dry-) cleaning of textile and fur products, ,9601,F4.1389,NAICS-561740,ISIC-9601,,1,1
*,561790,Other Services to Buildings and Dwellings,*,4390,Other specialized construction activities,power washing and other exterior cleaning,4390,F4.1390,NAICS-561790,ISIC-4390,,1,1
*,561790,Other Services to Buildings and Dwellings,*,8129,Other building and industrial cleaning activities,except power washing and other exterior cleaning,8129,F4.1391,NAICS-561790,ISIC-8129,,1,1
,561910,Packaging and Labeling Services,*,8292,Packaging activities, ,8292,F4.1392,NAICS-561910,ISIC-8292,,1,1
,561920,Convention and Trade Show Organizers,,8230,Organization of conventions and trade shows, ,8230,F4.1393,NAICS-561920,ISIC-8230,,1,1
*,561990,All Other Support Services,*,1313,Finishing of textiles,"cloth cutting, winding, or bolting for the trade",1313,F4.1394,NAICS-561990,ISIC-1313,,1,1
*,561990,All Other Support Services,*,8299,Other business support service activities n.e.c.,"except cloth cutting for the trade, motor vehicle license issuing on a contract or fee basis and commercial fire fighting services",8299,F4.1395,NAICS-561990,ISIC-8299,,1,1
*,561990,All Other Support Services,*,8413,Regulation of and contribution to more efficient operation of businesses,vehicle license issuing on a contract or fee basis,8413,F4.1396,NAICS-561990,ISIC-8413,,1,1
*,561990,All Other Support Services,*,8423,Public order and safety activities,commercial fire fighting,8423,F4.1397,NAICS-561990,ISIC-8423,,1,1
,562111,Solid Waste Collection,*,3811,Collection of non-hazardous waste, ,3811,F4.1398,NAICS-562111,ISIC-3811,,1,1
,562112,Hazardous Waste Collection,,3812,Collection of hazardous waste, ,3812,F4.1399,NAICS-562112,ISIC-3812,,1,1
,562119,Other Waste Collection,*,3811,Collection of non-hazardous waste, ,3811,F4.1400,NAICS-562119,ISIC-3811,,1,1
,562211,Hazardous Waste Treatment and Disposal,,3822,Treatment and disposal of hazardous waste, ,3822,F4.1401,NAICS-562211,ISIC-3822,,1,1
,562212,Solid Waste Landfill,*,3821,Treatment and disposal of non-hazardous waste, ,3821,F4.1402,NAICS-562212,ISIC-3821,,1,1
,562213,Solid Waste Combustors and Incinerators,*,3821,Treatment and disposal of non-hazardous waste,,3821,F4.1403,NAICS-562213,ISIC-3821,,1,1
*,562219,Other Nonhazardous Waste Treatment and Disposal,*,3700,Sewerage,treatment and filtration of nonhazardous industrial waste water (not part of sewer system) ,3700,F4.1404,NAICS-562219,ISIC-3700,,1,1
*,562219,Other Nonhazardous Waste Treatment and Disposal,*,3821,Treatment and disposal of non-hazardous waste,except treatment and filtration of nonhazardous industrial waste water (not part of sewer system) ,3821,F4.1405,NAICS-562219,ISIC-3821,,1,1
,562910,Remediation Services,,3900,Remediation activities and other waste management services, ,3900,F4.1406,NAICS-562910,ISIC-3900,,1,1
,562920,Materials Recovery Facilities,*,3830,Materials recovery, ,3830,F4.1407,NAICS-562920,ISIC-3830,,1,1
,562991,Septic Tank and Related Services,*,3700,Sewerage, ,3700,F4.1408,NAICS-562991,ISIC-3700,,1,1
,562998,All Other Miscellaneous Waste Management Services,*,3700,Sewerage, ,3700,F4.1409,NAICS-562998,ISIC-3700,,1,1
*,611110,Elementary and Secondary Schools,*,8510,Pre-primary and primary education,"preschools, kindergartens, elementary schools, and associated school boards",8510,F4.1410,NAICS-611110,ISIC-8510,,1,1
*,611110,Elementary and Secondary Schools,,8521,General secondary education,"jr. high schools, high schools, and associated school boards",8521,F4.1411,NAICS-611110,ISIC-8521,,1,1
*,611110,Elementary and Secondary Schools,*,8522,Technical and vocational secondary education,technical and vocational high schools,8522,F4.1412,NAICS-611110,ISIC-8522,,1,1
,611210,Junior Colleges,*,8530,Higher education, ,8530,F4.1413,NAICS-611210,ISIC-8530,,1,1
,611310,"Colleges, Universities, and Professional Schools",*,8530,Higher education, ,8530,F4.1414,NAICS-611310,ISIC-8530,,1,1
,611410,Business and Secretarial Schools,*,8522,Technical and vocational secondary education, ,8522,F4.1415,NAICS-611410,ISIC-8522,,1,1
,611420,Computer Training,*,8549,Other education n.e.c., ,8549,F4.1416,NAICS-611420,ISIC-8549,,1,1
,611430,Professional and Management Development Training,*,8549,Other education n.e.c., ,8549,F4.1417,NAICS-611430,ISIC-8549,,1,1
,611511,Cosmetology and Barber Schools,*,8522,Technical and vocational secondary education, ,8522,F4.1418,NAICS-611511,ISIC-8522,,1,1
*,611512,Flight Training,*,8522,Technical and vocational secondary education,"except flight training not resulting in type rating (certificate for 747, 757, etc.) ",8522,F4.1419,NAICS-611512,ISIC-8522,,1,1
*,611512,Flight Training,*,8549,Other education n.e.c.,"flight training not resulting in type rating (certificate for 747, 757, etc.) ",8549,F4.1420,NAICS-611512,ISIC-8549,,1,1
,611513,Apprenticeship Training,*,8522,Technical and vocational secondary education, ,8522,F4.1421,NAICS-611513,ISIC-8522,,1,1
,611519,Other Technical and Trade Schools,*,8522,Technical and vocational secondary education, ,8522,F4.1422,NAICS-611519,ISIC-8522,,1,1
,611610,Fine Arts Schools,,8542,Cultural education, ,8542,F4.1423,NAICS-611610,ISIC-8542,,1,1
,611620,Sports and Recreation Instruction,*,8541,Sports and recreation education, ,8541,F4.1424,NAICS-611620,ISIC-8541,,1,1
,611630,Language Schools,*,8549,Other education n.e.c., ,8549,F4.1425,NAICS-611630,ISIC-8549,,1,1
*,611691,Exam Preparation and Tutoring,*,8510,Pre-primary and primary education,adult literacy programs,8510,F4.1426,NAICS-611691,ISIC-8510,,1,1
*,611691,Exam Preparation and Tutoring,*,8549,Other education n.e.c.,except adult literacy programs,8549,F4.1427,NAICS-611691,ISIC-8549,,1,1
,611692,Automobile Driving Schools,*,8549,Other education n.e.c., ,8549,F4.1428,NAICS-611692,ISIC-8549,,1,1
*,611699,All Other Miscellaneous Schools and Instruction,*,8541,Sports and recreation education,"yoga instruction, card game instruction (such as bridge)",8541,F4.1429,NAICS-611699,ISIC-8541,,1,1
*,611699,All Other Miscellaneous Schools and Instruction,*,8549,Other education n.e.c.,except yoga instruction and card game instruction,8549,F4.1430,NAICS-611699,ISIC-8549,,1,1
,611710,Educational Support Services,,8550,Educational support services, ,8550,F4.1431,NAICS-611710,ISIC-8550,,1,1
,621111,Offices of Physicians (except Mental Health Specialists),*,8620,Medical and dental practice activities, ,8620,F4.1432,NAICS-621111,ISIC-8620,,1,1
,621112,"Offices of Physicians, Mental Health Specialists",*,8620,Medical and dental practice activities, ,8620,F4.1433,NAICS-621112,ISIC-8620,,1,1
,621210,Offices of Dentists,*,8620,Medical and dental practice activities, ,8620,F4.1434,NAICS-621210,ISIC-8620,,1,1
,621310,Offices of Chiropractors,*,8690,Other human health activities, ,8690,F4.1435,NAICS-621310,ISIC-8690,,1,1
,621320,Offices of Optometrists,*,8690,Other human health activities, ,8690,F4.1436,NAICS-621320,ISIC-8690,,1,1
,621330,Offices of Mental Health Practitioners (except Physicians),*,8690,Other human health activities, ,8690,F4.1437,NAICS-621330,ISIC-8690,,1,1
,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",*,8690,Other human health activities, ,8690,F4.1438,NAICS-621340,ISIC-8690,,1,1
,621391,Offices of Podiatrists,*,8690,Other human health activities, ,8690,F4.1439,NAICS-621391,ISIC-8690,,1,1
,621399,Offices of All Other Miscellaneous Health Practitioners,*,8690,Other human health activities, ,8690,F4.1440,NAICS-621399,ISIC-8690,,1,1
*,621410,Family Planning Centers,*,8620,Medical and dental practice activities,except family planning and counseling provided by medical professionals (except doctors) and family planning social services,8620,F4.1441,NAICS-621410,ISIC-8620,,1,1
*,621410,Family Planning Centers,*,8690,Other human health activities,"medical family planning centers, services by nurses and other medical professionals except doctors",8690,F4.1442,NAICS-621410,ISIC-8690,,1,1
*,621410,Family Planning Centers,*,8890,Other social work activities without accommodation,"family planning counseling and services not provided by doctors, nurses, or other medical professionals ",8890,F4.1443,NAICS-621410,ISIC-8890,,1,1
*,621420,Outpatient Mental Health and Substance Abuse Centers,*,8620,Medical and dental practice activities,"except outpatient detoxification centers, drug addiction centers, mental health centers etc. without medical doctors providing services",8620,F4.1444,NAICS-621420,ISIC-8620,,1,1
